N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
1,KODEX 200선물인버스2X,"2,285",175,-7.11%,"302,804,230","684,418","2,305","2,310","15,764",N/A,N/A
2,KODEX 코스닥150선물인버스,"3,875",285,-6.85%,"52,261,039","203,898","3,885","3,890","3,418",N/A,N/A
3,KODEX 인버스,"4,450",170,-3.68%,"39,381,318","174,926","4,465","4,470","6,746",N/A,N/A
4,KODEX 레버리지,"16,470",740,+4.70%,"37,139,918","616,855","16,315","16,325","16,330",N/A,N/A
5,KODEX 코스닥150레버리지,"8,380",680,+8.83%,"35,984,523","300,050","8,350","8,355","10,953",N/A,N/A
6,삼성전자,"72,800","1,400",+1.96%,"30,145,050","2,232,101","72,600","72,700","4,346,002",25.11,4.15
7,흥아해운,"2,860",165,+6.12%,"29,235,582","82,242","2,810","2,815","6,876",22.00,23.02
8,휴니드,"10,830","1,610",+17.46%,"19,212,048","198,399","10,960","10,970","1,529",7.58,11.69
9,삼성 인버스 2X WTI원유 선물 ETN,99,4,-3.88%,"17,685,808","1,758",99,100,"1,482",N/A,N/A
10,삼성중공업,"10,930",880,+8.76%,"12,913,553","139,470","10,860","10,870","96,184",-64.29,-4.22
11,TIGER 200선물인버스2X,"2,420",185,-7.10%,"11,062,448","26,624","2,435","2,445",939,N/A,N/A
12,KODEX 200,"34,410","1,150",+3.46%,"9,051,131","312,759","34,250","34,255","56,501",N/A,N/A
13,한국ANKOR유전,460,8,+1.77%,"8,536,748","3,876",461,462,322,N/A,N/A
14,대한해운,"2,010",159,+8.59%,"8,245,081","16,080","1,964","1,965","6,415",5.74,4.36
15,KODEX 코스닥150,"12,305",730,+6.31%,"7,829,919","95,810","12,270","12,280","7,580",N/A,N/A
16,삼성 인버스 2X 코스닥150 선물 ETN,"7,135","1,285",-15.26%,"7,774,052","56,060","7,195","7,205","2,854",N/A,N/A
17,SK하이닉스,"165,500","9,400",+6.02%,"6,998,110","1,150,805","163,700","163,800","1,204,844",-26.12,-15.61
18,대원전선,"3,045",265,+9.53%,"6,456,718","19,479","3,025","3,030","2,283",21.75,10.02
19,국제약품,"6,240",990,+18.86%,"5,792,527","35,797","6,300","6,310","1,320",-20.33,-10.58
20,두산에너빌리티,"16,940","1,080",+6.81%,"5,514,360","92,481","16,840","16,850","108,511",83.45,0.78
21,삼부토건,"1,260",1,+0.08%,"5,430,104","6,959","1,260","1,263","2,818",-1.92,-73.88
22,TIGER 미국S&P500,"17,930",260,+1.47%,"4,911,604","87,949","17,940","17,945","40,862",N/A,N/A
23,KODEX 2차전지산업레버리지,"2,200",170,+8.37%,"4,842,366","10,644","2,165","2,175","1,993",N/A,N/A
24,대성에너지,"11,570",30,+0.26%,"4,477,321","51,912","11,580","11,590","3,182",16.84,4.72
25,RISE 200,"34,670","1,160",+3.46%,"3,843,259","133,353","34,510","34,525","10,609",N/A,N/A
26,현대약품,"5,450",380,+7.50%,"3,626,832","19,814","5,430","5,440","1,744",64.12,7.15
27,ACE 미국30년국채액티브(H),"8,885",110,-1.22%,"3,614,750","32,133","8,880","8,885","15,389",N/A,N/A
28,한양증권,"18,410","2,250",+13.92%,"3,601,394","65,563","18,310","18,340","2,343",6.48,7.40
29,SOL 조선TOP3플러스,"12,785",995,+8.44%,"3,504,898","44,034","12,710","12,715","2,493",N/A,N/A
30,RISE 미국30년국채엔화노출(합성 H),"9,825",325,-3.20%,"3,209,150","31,405","9,835","9,840","3,571",N/A,N/A
